,date,capacity,turnover,open,high,low,close,change,transaction
0,2020-08-03,77288571,32339719000,420.5,424.0,415.0,416.0,-9.5,43360
1,2020-08-04,41697445,17600499460,421.5,425.5,418.5,425.5,9.5,22250
2,2020-08-05,47460834,20356413204,430.5,433.5,426.0,429.0,3.5,24715
3,2020-08-06,43443627,18877761758,437.5,438.0,431.0,435.0,6.0,22414
4,2020-08-07,37611388,16218241255,433.5,434.0,428.0,433.0,-2.0,19739
